id	szemely	hely	avatas	rogzites
1509	Szent István	Székesfehérvár	2000	2011.11.10
1510	Móricz Zsigmond	Sárospatak	1968	2009.05.27
1511	Balassa János	Szekszárd	1962	2010.05.04
1512	Bem József	Zalaszentgrót	2014	2015.08.14
1513	Bay Zoltán	Budapest	2000	2010.06.22
1514	Derkovits Gyula	Szeged	1969	2011.05.04
1515	Dózsa György	Csemő	1979	2011.03.01
1516	Déri Frigyes	Baja	1934	2016.01.13
1517	Marczali Henrik	Marcali	2005	2008.10.16
1518	Antonio Vivaldi	Sárospatak	1997	2010.10.20
1519	Csokonai Vitéz Mihály	Budapest	1953	2008.11.20
1520	Kittenberger Kálmán	Békés	1998	2013.06.11
1521	Szent László	Géderlak	2016	2016.11.26
1522	Manninger Gusztáv Adolf	Keszthely	2000	2014.08.09
1523	Hannah Arendt	Budapest	2016	2016.10.17
1524	Bogoboj Atanacković	Baja	1996	2010.11.15
1525	Nagy Imre	Budapest	2007	2014.08.05
1526	Fodor József	Budapest	2001	2015.05.03
1527	Balassa János	Budapest		2018.10.12
1528	Ipolyi Arnold	Szeged	1930	2008.02.12
1529	Katona József	Budapest	1936	2010.04.13
1530	Vaszary János	Kaposvár	1971	2010.05.14
1531	Makovecz Imre	Csenger	2012	2012.10.02
1532	Vajta László	Zalaegerszeg	1987	2012.09.04
1533	Széchenyi István gróf	Budapest	1991	2008.10.23
1534	Chopin	Budapest	2011	2011.10.17
1535	Szent Imre	Imrehegy	2007	2010.10.13
1536	Gersei Pethő János	Zalaszántó	2013	2018.09.06
1537	Árpád fejedelem	Sátoraljaújhely	2007	2009.06.07
1538	Fodor János	Budapest	1951	2014.06.26
1539	Erzsébet királyné	Budapest	1906	2009.03.29
1540	Herman Ottó	Bükkszentkereszt	1993	2011.10.16
1541	Hunyadi Mátyás	Miskolc-Lillafüred	2017	2017.05.31
1542	Radnóti Miklós	Mosonmagyaróvár	2004	2014.04.12
1543	Pálmay Ilka	Budapest	1889	2009.10.03
1544	Petőfi Sándor	Kiszombor	2008	2010.11.10
1545	Pió atya	Budapest	2006	2013.04.17
1546	Vujicsics Tihamér	Szentendre	1985	2013.06.27
1547	Juranics Lőrinc	Szigetvár	1981	2010.04.09
1548	Karl Landsteiner	Szombathely	1981	2010.09.26
1549	II. Rákóczi Ferenc	Szécsény	1955	2010.04.16
1550	Kölüs Gábor	Keszthely	2010	2014.08.11
1551	Bocskai István	Nagykereki	1977	2012.10.14
1552	Csáki Frigyes	Budapest	2007	2011.10.11
1553	Blaha Lujza	Szentes	1941	2012.07.22
1554	Bibó István	Balatonfüred	2006	2008.07.12
1555	Zrínyi Miklós	Budapest	1956	2017.03.21
1556	Munkácsy Mihály	Törökbálint	2009	2010.01.09
1557	II. Rákóczi Ferenc	Budaörs	2008	2012.02.23
1558	Klauzál Gábor	Kalocsa	2010	2010.05.25
1559	Zimmermann Ágoston	Budapest	1975	2009.05.14
1560	Bláthy Ottó Titusz	Tata	2006	2011.12.15
1561	Kőrösi Csoma Sándor	Balatonfüred	1982	2008.07.12
1562	Baktay Ervin	Érd	1991	2008.05.05
1563	Deák Ferenc	Pécs	1885	2008.04.11
1564	Zielinski Szilárd	Szeged	2007	2008.01.16
1565	Münnich Ferenc	Békéscsaba	1980	2017.01.09
1566	Klebelsberg Kuno	Mórahalom	2003	2009.12.07
1567	Kertész Imre	Eger	2003	2011.08.31
1568	Petőfi Sándor	Karcag	1948	2009.04.21
1569	Kossuth Lajos	Nagykanizsa	1998	2008.02.01
1570	Kossuth Lajos	Látrány	2000	2018.12.03
1571	Lévay Henrik báró	Győrújbarát	2012	2013.07.04
1572	Palotás László	Budapest	2005	2009.01.17
1573	Szent-Györgyi Albert	Budapest	2006	2015.05.21
1574	Sebes György	Szeghalom	1965	2015.03.05
1575	Bethlen Gábor	Hajdúböszörmény	1984	2009.06.24
1576	Jókai Mór	Pápa	1931	2010.11.09
1577	Illyés Gyula	Hévíz	1991	2008.07.26
1578	Ferenc József	Kaposvár	1903	2012.09.14
1579	Varga József	Zalaegerszeg	1987	2012.08.14
1580	Berky Lili	Budapest		2018.11.29
1581	Kossuth Lajos	Iregszemcse	1948	2008.07.05
1582	Csarnojevity Arzén	Dunaszekcső	2006	2010.12.10
1583	John Lennon	Sopron	2010	2010.10.05
1584	Ferenc József	Szeged	1931	2015.06.15
1585	Árpád fejedelem	Vecsés	2015	2016.11.16
1586	Barcsay Jenő	Szentendre	1996	2010.04.10
1587	Kodály Zoltán	Szolnok	1983	2011.04.01
1588	Christian Doppler	Miskolc-Egyetemváros	1992	2009.11.09
1589	Nagyváthy János	Budapest	1977	2008.07.26
1590	Ravasz László	Lakitelek	2000	2010.07.04
1591	Kelemen László	Budapest	1978	2011.03.29
1592	Kossuth Lajos	Ibrány	1949	2012.04.16
1593	Erzsébet királyné	Makó	1901	2009.11.16
1594	Szent István	Taktakenéz	1998	2015.07.09
1595	Csokonai Vitéz Mihály	Debrecen	1971	2009.07.06
1596	Petschacher Gusztáv	Budapest	1889	2014.08.26
1597	Gárdonyi Géza	Levelek	1992	2018.04.07
1598	Makovecz Imre	Felcsút	2014	2014.08.12
1599	Petőfi Sándor	Budapest	1922	2016.02.22
1600	Móra Ferenc	Győr	2015	2015.10.15
1601	Radnóti Miklós	Budapest	2011	2010.03.03
1602	Mauks Ilona	Mohora	2003	2010.01.04
1603	Hunyadi Mátyás	Kőszeg	2009	2010.07.25
1604	Kempelen Farkas	Heves	1999	2010.06.05
1605	Mindszenty József	Lakitelek	2000	2010.06.29
1606	II. Rákóczi Ferenc	Tokaj	2012	2017.07.02
1607	Böhm Károly	Szeged	1930	2011.06.29
1608	Béri Balogh Ádám	Vaja	1981	2010.06.20
1609	Szabó Magda	Debrecen	2007	2014.10.07
1610	Segner János András	Debrecen	1974	2009.01.29
1611	Mikszáth Kálmán	Budapest	1910	2017.05.22
1612	Oláh György	Eger	2000	2011.09.20
1613	Bókay János	Budapest	1902	2009.01.22
1614	Báldy Bálint	Bár	1987	2014.03.05
1615	Sütő András	Sopron	2011	2011.09.30
1616	Petőfi Sándor	Sárvár	1948	2012.08.03
1617	Gábor Dénes	Eger	2000	2011.09.22
1618	II. János Pál pápa	Pálmonostora	2011	2012.10.26
1619	Kun Béla	Debrecen	1981	2015.01.04
1620	József Attila	Gyula	1967	2009.10.07
1621	Gschwindt Ernő	Budapest	1901	2016.08.31
1622	Széchenyi István gróf	Dunavarsány	2016	2017.03.26
1623	Puskin	Tatabánya	1973	2010.03.06
1624	Gyóni Géza	Dabas-Gyón	1986	2010.09.24
1625	Bethlen Gábor	Mezőberény	1982	2010.09.29
1626	Petőfi Sándor	Borsodnádasd	1948	2016.04.18
1627	Bugát Pál	Gyöngyös	1960	2010.08.05
1628	Ferenc József	Piliscsaba	1896	2012.11.02
1629	Baksay Sándor	Kunszentmiklós	2004	2009.07.24
1630	Makk Béla	Tatabánya	2006	2009.12.28
1631	Katona István	Szeged	1930	2011.05.21
1632	Grosics Gyula	Gyenesdiás	2017	2018.02.12
1633	Tárczy Hornoch Antal	Sopron	2001	2010.06.21
1634	Duso Simara Puzarov	Felsőszentmárton	1986	2018.04.20
1635	Zorkóczy Béla	Miskolc-Egyetemváros	1996	2009.11.10
1636	Bojtos Sándor	Nagykamarás	1971	2016.12.19
1637	Klebelsberg Kuno	Dabas	2014	2015.05.09
1638	Gerevich Aladár	Budapest	2010	2013.01.15
1639	Hutÿra Ferenc	Kulcs	2014	2016.06.28
1640	Frédéric Joliot-Curie	Budapest	1959	2010.09.24
1641	Bem József	Székesfehérvár	2011	2011.08.03
1642	Baross Gábor	Budapest	1988	2013.07.15
1643	II. Rákóczi Ferenc	Ricse	1996	2011.06.11
1644	Bajcsy-Zsilinszky Endre	Szarvas	1981	2009.11.04
1645	Hviezdoslav	Kiskőrös	1991	2011.03.25
1646	Philipp Melanchthon	Budapest	2007	2009.04.01
1647	Kossuth Lajos	Kötegyán	2002	2011.06.15
1648	Jászai Mari	Ászár	1984	2011.08.03
1649	Reményik Sándor	Kaposvár	2007	2013.02.04
1650	Petőfi Sándor	Sárrétudvari	2000	2012.12.31
1651	Hámán Kató	Budapest	1950	2009.11.06
1652	Noszlopy Gáspár	Somogysárd	1997	2017.07.31
1653	Moldován Stefánia	Budapest		2015.04.29
1654	Flór Ferenc	Kistarcsa	1986	2014.09.25
1655	Sillye Gábor	Hajdúböszörmény	1984	2009.06.24
1656	Szent István	Pirtó	2002	2014.06.17
1657	Fontos Sándor	Üllés	1997	2014.07.30
1658	Ács Károly	Ráckeve		2008.05.05
1659	Petőfi Sándor	Kalocsa	1966	2008.04.20
1660	Szent Imre	Mátraszentimre	2007	2008.11.18
1661	Pécsi Sándor	Sárospatak	1984	2009.05.21
1662	Szendrey Júlia	Keszthely	1982	2011.10.07
1663	József Attila	Hódmezővásárhely	2000	2008.05.06
1664	John Wesley	Budakeszi		2017.04.30
1665	Eötvös Loránd	Szarvas	1952	2010.11.04
1666	Salvador Allende	Budapest	1975	2018.01.09
1667	József nádor	Mezőfalva	2001	2009.10.11
1668	Vass Lajos	Lakitelek	2010	2010.06.23
1669	Ady Endre	Debrecen	1961	2009.09.14
1670	Vámbéry Ármin	Érd	2007	2008.05.05
1671	Kállay Rudolf	Kállósemjén	2016	2016.05.03
1672	Barabás István	Vasvár	1983	2012.07.30
1673	Jókai Mór	Balatonfüred	1961	2009.09.02
1674	Füst Milán	Budapest	1979	2009.04.06
1675	Széchenyi István gróf	Dunakeszi	1997	2012.01.12
1676	Pető Ernő	Szombathely	1999	2012.05.11
1677	Bartók Béla	Sárospatak	1997	2009.05.26
1678	Hippokratész	Budapest	2009	2010.01.17
1679	Németh László	Gyöngyös	1976	2012.06.16
1680	Ravasz László	Budapest	2012	2014.08.21
1681	Székács Elemér	Orosháza	2017	2017.10.09
1682	Nyirkos István	Debrecen	2016	2016.10.07
1683	Szent István	Isaszeg	2002	2012.08.22
1684	Petőfi Sándor	Jászapáti	2000	2009.03.17
1685	Vántus István	Szeged	2013	2015.08.30
1686	Komjádi Béla	Orosháza-Gyopárosfürdő	1935	2015.01.22
1687	Nikolaus Lenau	Mosonmagyaróvár	1978	2014.03.21
1688	Katona Béla	Nyíregyháza	2014	2015.01.03
1689	Knézich Károly	Budapest	1998	2010.03.18
1690	Hunyadi János	Mezőkovácsháza	1977	2010.04.11
1691	Mindszenty József	Szigethalom	2017	2017.05.01
1692	Szent-Györgyi Albert	Lakitelek	2007	2010.07.04
1693	Liszt Ferenc	Nyírbátor	1987	2010.07.13
1694	Cserháti Sándor	Budapest	1983	2008.07.25
1695	Petőfi Sándor	Vámospércs	2000	2009.06.20
1696	Dömötör János	Hódmezővásárhely	2011	2012.11.19
1697	Csikász Imre	Veszprém	1994	2010.01.21
1698	Alexander Fleming, Sir	Debrecen	2002	2010.01.31
1699	Csonka János	Budapest	1965	2009.04.05
1700	Wass Albert	Detk	2009	2011.08.10
1701	Iványi Grünwald Béla	Kecskemét	1966	2008.05.12
1702	Batthyány Lajos gróf	Balatonszabadi	2007	2010.06.15
1703	Korb Flóris	Szeged	2007	2008.01.16
1704	Ordass Lajos	Lakitelek	2001	2010.06.29
1705	Latabár Endre	Miskolc	2007	2009.11.09
1706	Batthyány Lajos gróf	Nagykanizsa	1990	2015.06.09
1707	Rejtő Sándor	Budapest	2012	2015.02.22
1708	Benyovszky Móric	Rigyác	2009	2018.11.28
1709	Károlyi Gáspár	Vizsoly	1997	2011.06.06
1710	Németh Imre	Budapest	2000	2013.05.06
1711	Zichy Mihály	Tab	1982	2009.03.20
1712	Szegedi Kis István	Mezőberény	2014	2016.11.02
1713	Nagy Imre	Balatonőszöd	2002	2010.10.27
1714	Tornyai János	Hódmezővásárhely	2006	2018.01.19
1715	Czóbel Béla	Budapest	1983	2008.11.07
1716	Mahatma Gandhi	Pécs	2014	2014.12.09
1717	Rózsahegyi Kálmán	Gyomaendrőd	2000	2011.08.08
1718	Missi Szeszpel	Eger	1980	2013.11.03
1719	Hüse Károly	Szolnok	2009	2010.12.19
1720	Hajós Alfréd	Budapest	2002	2013.12.19
1721	Nagy László	Kecskemét	2013	2013.09.20
1722	Tragor Ignác	Vác	2004	2011.11.10
1723	Zbigniew Herbert	Budapest	2016	2016.10.20
1724	Bogdán János	Pécs	2007	2008.03.06
1725	Kazinczy Ferenc	Budapest	2007	2014.01.29
1726	Petőfi Sándor	Vásárosnamény-Gergelyiugornya	2004	2011.11.14
1727	Kómár Gyula	Aszód	2005	2011.04.07
1728	Széchenyi István gróf	Dabas	2011	2011.11.12
1729	Jankovits Gyula	Pomáz	1990	2010.06.21
1730	Szent István	Ács	2000	2009.12.01
1731	II. Rákóczi Ferenc	Berettyóújfalu	1987	2009.03.20
1732	Lenin	Nyíregyháza	1975	2010.11.03
1733	Zrínyi Miklós	Budapest	1937	2016.04.09
1734	Hunyadi János	Ópusztaszer	2001	2010.05.16
1735	Attila	Homokkomárom	2009	2015.12.17
1736	Vedres István	Szeged	1979	2014.11.13
1737	Kazinczy Ferenc	Sátoraljaújhely-Széphalom	1873	2015.04.07
1738	Körösfői-Kriesch Aladár	Gödöllő	2007	2011.02.10
1739	Bottyán János	Szentlőrinckáta	2005	2016.04.18
1740	Árpád fejedelem	Patapoklosi	2000	2017.07.17
1741	Erzsébet királyné	Veszprém	1901	2010.02.17
1742	Csekonics József	Bábolna	1992	2011.04.15
1743	Széchenyi Ferenc gróf	Marcali	2002	2008.10.16
1744	Gárdonyi Géza	Dunaújváros	1987	2009.06.02
1745	Szent István	Lajosmizse	2001	2009.09.23
1746	Tessedik Sámuel	Bábolna	1985	2011.06.05
1747	Fischer Mór	Herend	1996	2010.05.03
1748	Amade László	Iszkaszentgyörgy	2015	2015.06.16
1749	Kossuth Lajos	Kéthely		2010.09.26
1750	Szent István	Bajánsenye	2000	2012.09.03
1751	Irányi Dániel	Békés	1998	2011.09.12
1752	Petőfi Sándor	Jakabszállás	2018	2018.08.16
1753	Ruzicskay György	Szarvas	2009	2010.11.05
1754	Novák Dezső	Budapest	1999	2013.01.31
1755	Marx	Békéscsaba	1975	2016.08.04
1756	Soós Imre	Balmazújváros	2012	2014.02.07
1757	Latabár Endre	Miskolc	1959	2014.12.11
1758	Bárány Nándor	Budapest	2017	2017.11.12
1759	Holló László	Debrecen	2002	2009.07.14
1760	Harruckern János György	Szarvas	1997	2009.10.30
1761	József Attila	Nagyatád	1968	2014.12.05
1762	Petőfi Sándor	Monok	1973	2018.03.07
1763	Wein János	Budapest	2010	2011.10.02
1764	Erkel Ferenc	Dorog	1978	2015.03.25
1765	Batthyány Lajos herceg	Lajoskomárom	2014	2016.04.05
1766	II. Rákóczi Ferenc	Szerencs	2010	2010.11.27
1767	Szent István	Edelény	2001	2009.08.26
1768	Gennaro Verolino	Budapest	2010	2010.09.30
1769	Kossuth Lajos	Bátonyterenye-Kisterenye	1992	2010.09.26
1770	Alliquander Ödön	Zalaegerszeg	2000	2012.09.12
1771	Kunffy Lajos	Orci	2008	2018.04.11
1772	Zenthe Ferenc	Salgótarján	2008	2010.07.12
1773	Liszt Ferenc	Sopron	1893	2008.05.29
1774	Bánki Donát	Budapest	1969	2015.04.10
1775	Gottlieb Haberlandt	Mosonmagyaróvár	1995	2014.04.09
1776	Egressy Gábor	Miskolc	1960	2011.03.30
1777	Verő József	Miskolc-Egyetemváros	1992	2014.08.03
1778	II. János Pál pápa	Ajka	2008	2016.01.12
1779	Áprily Lajos	Visegrád	1981	2011.05.30
1780	Andrei Șaguna	Körösszegapáti	2013	2015.02.16
1781	Ujhelyi Imre	Levél	1936	2011.05.26
1782	Tóth Árpád	Debrecen	1977	2010.01.31
1783	Dobsa Lajos	Makó	1998	2009.11.26
1784	Semmelweis Ignác	Budapest	2002	2012.09.13
1785	Bibó István	Kecskemét	1996	2009.12.20
1786	Lónyay Menyhért gróf	Nyíregyháza	2000	2009.08.21
1787	Hunyadi János	Várda	2004	2016.09.17
1788	Klotild főhercegnő	Piliscsaba	2006	2011.11.17
1789	Mosolygó Antal	Mátészalka	1968	2017.08.17
1790	Márton Áron	Budapest	2010	2010.11.26
1791	Solymos Ede	Gárdony-Agárd	2016	2016.10.08
1792	Irinyi János	Létavértes	1982	2014.03.08
1793	Petőfi Sándor	Kistelek	1979	2011.03.15
1794	Szent László	Miskolc-Bükkszentlászló	2012	2013.05.17
1795	Szent Imre	Budapest	1999	2010.10.19
1796	Kodály Zoltán	Kecskemét	1978	2009.12.04
1797	Miskolci Nagy András	Biharnagybajom	2008	2013.06.08
1798	Gruber József	Budapest	2002	2011.09.19
1799	Nagyváthy János	Keszthely	1956	2011.01.12
1800	Károlyi Lajos gróf	Budakeszi	2001	2014.06.17
1801	Kittenberger Kálmán	Nagymaros	1971	2011.06.06
1802	Lehmann Antal	Pécs	2014	2014.04.10
1803	Kossuth Lajos	Debrecen	2013	2013.11.05
1804	Grassalkovich Antal gróf	Újhartyán	2016	2016.12.02
1805	Anthes György	Budapest		2015.11.22
1806	Csörgey Titusz	Csopak	2011	2013.07.22
1807	Korda Sándor	Túrkeve	1991	2010.09.09
1808	Hunfalvy Pál	Miskolc	1988	2011.03.12
1809	Strommer Gyula	Budapest	2005	2011.10.19
1810	Juhász István	Budapest	1999	2013.02.02
1811	Beethoven	Martonvásár	1987	2011.11.23
1812	Petrányi Gyula	Debrecen	2010	2014.09.14
1813	Ybl Miklós	Székesfehérvár	1965	2011.07.19
1814	Babits Mihály	Szekszárd	2013	2013.11.27
1815	Kossuth Lajos	Nyíradony-Tamásipuszta	1999	2011.05.02
1816	Savoyai Jenő herceg	Ráckeve	1997	2011.10.14
1817	Csokonai Vitéz Mihály	Kaposvár	1976	2008.06.08
1818	Liszt Ferenc	Budapest	2008	2010.04.27
1819	József nádor	Üröm	2002	2011.10.21
1820	Prohászka Ottokár	Lakitelek	2008	2010.06.29
1821	Kossuth Lajos	Tinnye	2016	2016.08.17
1822	Teleki Pál gróf	Pannonhalma	1948	2012.11.14
1823	Ságvári Endre	Dunaújváros	1963	2015.11.30
1824	Festetics Pál gróf	Keszthely	1997	2012.09.20
1825	József nádor	Mezőfalva	1818	2013.02.06
1826	Wigner Jenő	Budapest	1993	2012.07.27
1827	Szent István	Budapest	1999	2010.10.19
1828	Budenz József	Budapest	1989	2010.01.04
1829	Teleki Blanka	Szeged	1971	2011.01.24
1830	Salamon Ferenc	Budapest	1902	2008.10.19
1831	Szent-Györgyi Albert	Budapest	1994	2012.05.13
1832	József Attila	Székesfehérvár	1971	2011.07.20
1833	Glatz Oszkár	Buják	1996	2012.09.19
1834	Csokonai Vitéz Mihály	Debrecen	1970	2013.09.27
1835	Majer Antal	Sopron	2010	2010.10.11
1836	Nagy Lajos király	Ópusztaszer	2001	2010.05.15
1837	József Attila	Budapest	2005	2009.06.06
1838	Lendl Adolf	Budapest	1965	2010.04.19
1839	Kossuth Lajos	Emőd	2000	2011.01.30
1840	Wass Albert	Bonyhád	2005	2006.10.01
1841	Petőfi Sándor	Berkenye	2012	2012.10.23
1842	Kossuth Lajos	Zalaegerszeg	1999	2008.07.26
1843	Páncsics Miklós	Budapest	1999	2013.03.08
1844	Porpáczy Aladár	Pomáz	2003	2010.05.04
1845	Berlioz	Budapest	1959	2010.04.27
1846	Bocskai István	Debrecen	2006	2015.06.17
1847	Habsburg-Lotharingiai Izabella	Hercegszántó-Karapancsa	2010	2011.08.18
1848	Mindszenty József	Csehimindszent	1992	2012.08.30
1849	Pethe Ferenc	Budapest	1971	2009.04.05
1850	Kállay András	Kállósemjén	2016	2016.05.03
1851	Barsi Dénes	Vésztő-Mágor	1988	2011.09.25
1852	Kármán Tódor	Budapest	1969	2009.03.27
1853	Papp Simon	Zalaegerszeg	1987	2012.08.03
1854	Szent Imre	Tiszaszentimre	2007	2014.04.03
1855	Kossuth Lajos	Orgovány	1992	2011.09.06
1856	Alpár Ignácz	Budapest	1902	2011.06.16
1857	Petőfi Sándor	Orosháza	1955	2014.11.21
1858	Markusovszky Lajos	Szombathely	1955	2011.07.29
1859	Mészáros Lázár	Baja	2015	2015.03.21
1860	Ganz Ábrahám	Budapest	1989	2011.01.25
1861	Mechwart András	Budapest	1965	2009.07.30
1862	Pesthy Pál	Szekszárd	1929	2010.05.10
1863	Ortvay Rudolf	Budapest	1999	2011.11.25
1864	Weöres Sándor	Csönge	2003	2013.06.21
1865	Harsányi János	Budapest	2006	2014.04.25
1866	Vuk Stefanović Karadžić	Budapest	1987	2008.06.05
1867	Farkas Gyula	Békés	2002	2013.06.10
1868	Horváth Zsuzsa	Budapest		2018.04.29
1869	Pethe Ferenc	Keszthely	1961	2014.08.14
1870	Aba Sámuel	Ópusztaszer	2001	2009.11.26
1871	Kossuth Lajos	Berekböszörmény	1897	2014.08.25
1872	Krúdy Gyula	Nyíregyháza	1973	2010.07.27
1873	Heller László	Budapest	1985	2012.02.11
1874	Vörösmarty Mihály	Budapest	2000	2010.04.02
1875	Aba Novák Vilmos	Szolnok	2011	2011.03.20
1876	Sajó Elemér	Szolnok	1988	2008.04.21
1877	Batsányiné Baumberg Gabriella	Tapolca	1964	2008.05.02
1878	Kossuth Lajos	Rudabánya	1907	2010.06.05
1879	Kálmán Imre	Siófok	1961	2015.07.15
1880	Zavadszky Gábor	Budapest	2006	2014.01.10
1881	Albert Camus	Budapest	2014	2014.10.23
1882	Giuseppe Garibaldi	Körösladány	1968	2009.09.28
1883	Klebelsberg Kuno	Lakitelek	2005	2010.07.25
1884	Ujhelyi Imre	Kaposvár	1966	2016.05.12
1885	Bethlen István gróf	Kisbér	2011	2011.07.03
1886	Szepes Gyula	Érd	1994	2008.05.05
1887	László Gyula	Lakitelek	2018	2018.08.30
1888	Komjáthy Jenő	Balassagyarmat	1981	2009.12.12
1889	Sáska László	Érd	2005	2008.05.05
1890	Villax Ödön	Mosonmagyaróvár	1999	2011.05.11
1891	Petőfi Sándor	Hortobágy	1973	2014.03.06
1892	Kiss Géza	Sellye	1969	2009.08.29
1893	Ybl Miklós	Budapest	2000	2012.06.14
1894	Erdélyi József	Vésztő-Mágor	1989	2011.11.02
1895	Kodály Zoltán	Csongrád	1989	2010.03.30
1896	Teleki Blanka	Budapest	1996	2018.05.26
1897	Trefort Ágoston	Szeged	1934	2011.06.23
1898	Csaba királyfi	Vecsés	2015	2016.11.17
1899	Rabindranath Tagore	Budapest	2014	2016.02.08
1900	Széchényi Imre gróf	Balatonmáriafürdő	2012	2012.05.30
1901	Donáth Ferenc	Budapest	2003	2008.07.25
1902	Tessedik Sámuel	Keszthely	1961	2014.08.10
1903	Benedek Elek	Heves	1994	2010.06.05
1904	Juhász Balázs	Orosháza	1984	2015.01.13
1905	Rabindranath Tagore	Balatonfüred	2005	2008.07.06
1906	Babits Mihály	Pécs	2003	2008.02.12
1907	Erdei Ferenc	Makó	1972	2014.11.03
1908	Mészáros László	Budapest	2005	2010.04.20
1909	Vasvári Pál	Szeged	1960	2012.11.09
1910	Festetics György gróf	Hévíz	1993	2008.07.26
1911	Lechner Ödön	Szeged	1930	2008.04.13
1912	Ady Endre	Ráckeve	1966	2012.05.30
1913	Makó Lajos	Szeged	1910	2013.02.14
1914	Gothard Jenő	Szombathely	1912	2010.08.23
1915	Szakács László	Soltvadkert	2014	2016.04.09
1916	Kalamár József	Budapest	1957	2012.01.24
1917	Mokry Sámuel	Orosháza	2017	2017.10.08
1918	Szabó József	Tokaj	2015	2015.12.16
1919	Wigner Jenő	Paks	1995	2009.11.14
1920	Berecz Skolasztika	Tiszaalpár	2014	2015.01.10
1921	Jedlik Ányos	Budapest	1961	2009.06.09
1922	Varga Zoltán	Budapest	1999	2013.02.08
1923	Csokonai Vitéz Mihály	Csurgó	1967	2010.07.01
1924	Brusznyai Árpád	Veszprém	2007	2014.03.12
1925	Busbach Péter	Budapest	1909	2009.03.05
1926	Gárdonyi Géza	Eger	1964	2011.10.19
1927	Ferenc József	Szeged	1914	2012.11.28
1928	König Gyula	Budapest	1994	2011.11.10
1929	II. Rákóczi Ferenc	Patapoklosi	2013	2017.07.12
1930	Kossuth Lajos	Kisbér	2002	2009.12.10
1931	Kocsis Pál	Miskolc	2001	2010.03.12
1932	Váci Mihály	Győr-Győrszentiván	1990	2015.01.27
1933	Szent István	Szentkirályszabadja	2000	2013.09.24
1934	Orczy Lőrinc báró	Soltvadkert	2005	2009.08.02
1935	Somogyi József	Ásványráró	2001	2012.08.07
1936	Kossuth Lajos	Debrecen	1964	2010.05.02
1937	Kossuth Lajos	Patapoklosi	2002	2017.07.11
1938	Sándor Frigyes	Dunaújváros	2016	2016.10.27
1939	Munkácsy Mihály	Békéscsaba	1959	2015.02.22
1940	Széchenyi István gróf	Marcali		2009.02.15
1941	Straub Gyula	Veszprém	2006	2011.09.01
1942	Kossuth Lajos	Székesfehérvár	2002	2008.12.15
1943	Lenin	Kondoros	1975	2016.08.08
1944	Tompa Mihály	Miskolc	1988	2011.03.15
1945	Csáki Frigyes	Kecskemét	1987	2008.05.10
1946	Leiner Gyula	Vésztő	2009	2013.01.14
1947	Pataky István	Budapest	1965	2015.09.12
1948	Erdei Ferenc	Makó	1987	2014.11.04
1949	Széchenyi István gróf	Kisbér	2002	2010.12.19
1950	Petőfi Sándor	Battonya	1982	2010.03.23
1951	Kossuth Lajos	Vág	1985	2013.07.26
1952	Ávéd László	Mindszent	2013	2014.06.05
1953	Kodály Zoltán	Mátraszentimre-Galyatető	1969	2013.05.07
1954	Petőfi Sándor	Káptalantóti	2000	2014.04.28
1955	Koltay György	Sárvár	1964	2012.08.30
1956	Balassi Bálint	Budapest	1969	2008.11.17
1957	Wigner Jenő	Eger	1996	2011.09.02
1958	Szent László	Szentlászló	1996	2016.06.29
1959	Kiss Géza	Kémes	2013	2018.04.27
1960	Nagy Imre	Szerecseny	2006	2016.01.20
1961	II. Rákóczi Ferenc	Vállus	2010	2016.10.25
1962	Szent István	Mezőnyárád	1992	2010.09.15
1963	Szent István	Mór	2013	2013.09.25
1964	Vitális István	Tatabánya	1981	2009.11.30
1965	Székács Elemér	Törökszentmiklós	1970	2010.12.10
1966	Csonka János	Budapest	1989	2011.10.13
1967	Klebelsberg Kuno	Kaposvár	2005	2013.02.06
1968	Berzsenyi Dániel	Celldömölk	1961	2012.08.07
1969	II. János Pál pápa	Kecskemét	2012	2012.05.18
1970	Finkey József	Miskolc-Egyetemváros	1992	2009.11.11
1971	Hegedűs Gyula	Kéty	2006	2009.08.24
1972	Krämer Fülöp	Soltvadkert	2005	2009.08.03
1973	Ernst Thälmann	Budapest	1969	2008.12.06
1974	Hegedűs Loránt	Hajdúnánás	2014	2014.11.22
1975	Arany János	Nagykőrös	2017	2017.03.03
1976	Kossuth Lajos	Rakamaz	1903	2009.11.02
1977	Szent István	Ráckeresztúr	2000	2010.12.25
1978	Erzsébet királyné	Budapest	1903	2010.02.06
1979	Jalsoviczky István	Nagykőrös		2015.08.24
1980	Mérei Ferenc	Budapest	1996	2015.06.20
1981	Münnich Ferenc	Seregélyes	1970	2013.08.30
1982	Kozma László	Budapest	2002	2011.10.26
1983	Markó Sándor	Budapest	2017	2017.03.19
1984	Táncsics Mihály	Dabas	1978	2010.10.01
1985	Kálvin János	Kunhegyes	2009	2011.09.13
1986	Kazinczy Ferenc	Sátoraljaújhely	1968	2009.06.08
1987	Vedres István	Szeged	1975	2010.03.29
1988	Szent-Györgyi Albert	Orosháza-Gyopárosfürdő	2009	2010.03.13
1989	Georgi Dimitrov	Budapest	1954	2014.12.27
1990	Arany János	Kékcse	2010	2012.05.07
1991	Löw Immánuel	Szeged	2004	2008.02.26
1992	Géza fejedelem	Pannonhalma	2000	2010.09.17
1993	József Attila	Kiskunfélegyháza	2014	2014.04.20
1994	Petőfi Sándor	Székesfehérvár	1958	2011.07.14
